"White Slaves, African Masters: An Anthology of American Barbary Captivity Narratives";"9780226034041";"Paul Baepler"
"White Slavery in the Barbary States";"9781975855710";"Charles Sumner"
"Christian Slaves, Muslim Masters: White Slavery in the Mediterranean, The Barbary Coast, and Italy, 1500-1800";"9781403945518";"R. Davis"
"White Gold: The Extraordinary Story of Thomas Pellow and North Africa's One Million European Slaves";"9780340794708";"Giles Milton"
"White Cargo: The Forgotten History of Britain's White Slaves in America";"9780814742969";"Don Jordan, Michael Walsh"
"Race and Slavery in the Middle East: An Historical Enquiry";"9780195053265";"Bernard Lewis"
"They Were White and They Were Slaves: The Untold History of the Enslavement of Whites in Early America";"9780929903057";"Michael A. Hoffman"
"Afrique: l'histoire à l'endroit";"226200711X";"Bernard Lugan"
"Le génocide voilé : Enquête historique";"9782072718496";"Tidiane N'Diaye"
"Double Lives: Stalin, Willi Munzenberg and the Seduction of the Intellectuals";"9780002555166";"Stephen Koch"
"Hollywood Party: How Communism Seduced the American Film Industry in the 1930s and 1940s";"9780761521662";"Kenneth Lloyd Billingsley"
"Who Financed Hitler: The Secret Funding of Hitler's Rise to Power, 1919-1933";"9780671760830";"James Pool"
"Wall Street and the Rise of Hitler: The Astonishing True Story of the American Financiers Who Bankrolled the Nazis";"9781905570270";"Antony Cyril Sutton"
"Why Trilling Matters";"9780300187823";"Adam Kirsch"
"The Liberal Imagination";"9781590172834";"Lionel Trilling"
"The Politics Of Bad Faith: The Radical Assault on America's Future";"9780684856797";"David Horowitz"
"Koba The Dread: Laughter and the Twenty Million";"9780099438021";"Martin Amis"
"Hoodwinked: How Intellectual Hucksters Have Hijacked American Culture";"9781595550118";"Jack Cashill"
"Roots";"9780099362814";"Alex Haley"
"I. Rigoberta Menchu - An Indian Woman In Guatemala";"9781844674183";"Rigoberta Menchu"
"Julia";"imdbtt0076245";"Lillian Hellman"
"Fire Road: The Napalm Girl’s Journey through the Horrors of War to Faith, Forgiveness, and Peace";"9781496424303";"Kim Phuc Phan Thi"
"True Outspeak 11 de dezembro de 2006";"TRUEOUTSPEAK20061211";"Olavo de Carvalho"
"True Outspeak 22 de setembro de 2008";"TRUEOUTSPEAK20080922";"Olavo de Carvalho"
"Another Sort of Learning";"9780898701838";"James V. Schall"
"A Vida Intelectual";"9788588062863";"A. D. Sertillanges"
"How to Read a Book: The Classic Guide to Intelligent Reading";"9780671212094";"Mortimer J. Adler"
"The Trivium: The Liberal Arts of Logic, Grammar and Rhetoric";"9780967967509";"Sister Miriam Joseph"
"House of Intellect";"9780313200717";"Jacques Barzun"
"A Traição dos Intelectuais";"9781412806237";"Julien Benda"
"Le socialisme des intellectuels";"9782902963690";"Jan Waclav Makhaïski"
"Nas Sombras do Amanhã";"9788568071052";"Johan Huizinga"
"True Outspeak 08 de outubro de 2007";"TRUEOUTSPEAK20071008";"Olavo de Carvalho"
"True Outspeak 16 de junho de 2008";"TRUEOUTSPEAK20080616";"Olavo de Carvalho"
"A Crise do Mundo Moderno";"9789726999973";"René Guénon"
"Slavery in the Arab World";"9781561310234";"Murray Gordon"
"Disinformation: Media Myths That Undermine the War on Terror";"9780895260062";"Richard Miniter"
"How the World Really Works";"9780964084810";"Alan B. Jones"
"A Century of War: Anglo-American Oil Politics and the New World Order";"9783981326321";"F. William Engdahl"
"Memoirs: David Rockefeller";"B004G606FI";"David Rockefeller"
"Shadow War: The Untold Story of How Bush Is Winning the War on Terror";"B000FTBPB4";"Richard Miniter"
"Losing Bin Laden: How Bill Clinton's Failures Unleashed Global Terror";"B07DF6TV7B";"Richard Miniter"
"Foundations: Their Power and Influence";"9781939438249";"Rene A. Wormser"
"O Século do Nada";"B078PZKJC3";"Gustavo Corção"
"Le point de départ de la Métaphysique";"9780331321944";"Joseph Maréchal"
"Deliberate Dumbing Down of America";"9780966707113";"Charlotte Thomson Iserbyt"
"La dialectique de l affirmation";"B004QVCRKA";"André Marc"
"Insight: A Study of Human Understanding";"9780802034557";"Bernard Lonergan"
"Thieves World: The Threat of the New Global Network of Organized Crime";"9780671749972";"Claire Sterling"
"Les origines de la France contemporaine";"9782917260852";"Hippolyte Taine"
"Proofs of a Conspiracy";"9781502306388";"John Robison"
"America's secret establishment: an introduction to the Order of Skull & Bones";"9780972020701";"Antony C. Sutton"
"La Revolution francaise ou Les prodiges du sacrilege";"B00GN7IYS4";"Jean Dumont"
"The Age of Minerva: Cognitive Discontinuities in Eighteenth-Century Thought";"9781512803327";"Paul Ilie"
"Ação Humana";"9781614273547";"Ludwig Von Mises"
"Study Guide to Human Action: A Treatise on Economics";"9781933550381";"Robert P. Murphy"
"Choice: Cooperation, Enterprise, and Human Action";"9781598132182";"Robert P. Murphy"
"Socialism: An Economic and Sociological Analysis";"9780913966631";"Ludwig von Mises"
"Theory and History – an interpretation of social and economic evolution";"9780865975699";"Ludwig von Mises"
"Socialisme Fasciste";"B01GBKTA1W";"Pierre Drieu La Rochelle"
"The Anatomy of Melancholy";"9780940322660";"Robert Burton"
"On Growth and Form";"9781987817638";"D'Arcy Wentworth Thompson"
"A Sociedade da Confiança";"9782738103253";"Alain Peyrefitte"
"At War with the Word";"9781932236194";"R. V. Young"
"Against Deconstruction";"9780691014845";"John Martin Ellis"
"In the Shade of the Quran";"9780860373971";"Sayyid Qutb"
"Milestones";"9788172312442";"Sayyid Qutb"
"The Fellowship: The Untold Story of Frank Lloyd Wright and the Taliesin Fellowship";"978006098866";"Harold ZellmanRoger Friedland"
"The fraudulent gospel: Politics and the World Council of Churches";"9780900380204";"Bernard Smith"
"Unholy Alliance: The Definitive History of the National Council of Churches and Its Leftist Policies – From 1908 to the Present";"9780870003271";"Charles Gregg Singer"
"Itinerário espiritual da Igreja católica";"9788583432355";"Julio Fleichman"
"The Roads to Modernity: The British, French, and American Enlightenments";"9781400077229";"Gertrude Himmelfarb"
"História das Ideias Políticas";"9788580330915";"Eric Voegelin"
"The Shape of Things to Come";"9780141441047";"H. G. Wells"
"Islamic Homosexualities: Culture, History, and Literature";"9780814774687";"Stephen O. Murray"
"Before Homosexuality in the Arab-Islamic World, 1500-1800";"9780226729893";"Khaled El-Rouayheb"
"A enxada e a lança: a África antes dos Portugueses";"9788520926239";"Alberto da Costa e Silva"
"A History of Philosophy";"9780826469489";"Frederick C. Copleston"
"O Homem Revoltado";"9780679733843";"Albert Camus"
"A History of Magic and Experimental Science";"B0008D4J0G";"Lynn Thorndike"
"Le Système du Monde: Histoire des Doctrines Cosmologiques de Platon à Copernic";"9780260580252";"Pierre Duhem"
"De Arquimedes a Einstein: a face oculta da invenção científica";"9788571102729";"Pierre Thuillier"
"La Revanche des Sorcières: L'Irrationnel et la Pensée Scientifique";"9782701121109";"Pierre Thuillier"
"The Liberal Mind: The Psychological Causes of Political Madness";"9780977956319";"Lyle H. Rossiter, Jr., M.D."
"Ideologies and the Corruption of Thought";"9781560002871";"Joseph Gabel"
"I mostri della ragione";"9788881553129";"Rino Cammilleri"
"O Delírio De Dawkins";"9780830837212";"Alister McGrath"
"O Deus de Dawkins: Genes, memes e o significado da vida";"9781405125383";"Alister McGrath"
"The Best Enemy Money Can Buy";"9781939438232";"Antony C. Sutton"
"O Cristianismo e a Constituição";"9788573088946";"Juarez Altafin"
"The Myth of Hitler’s Pope";"9780895260345";"David G. Dalin"
"The Pope's Jews";"9781849545068";"Gordon Thomas"
"The Pius War: Responses to the Critics of Pius XII";"9780739109069";"David G. Dalin, Joseph Bottum"
"Hitler’s Table Talk, 1941-1944";"9781929631667";"Hugh Trevor-Roper"
"Church of Spies: The Pope's Secret War Against Hitler";"9780465094110";"Mark Riebling"
"History of Rome";"9781144968791";"Theodore Mommsen"
"História de Roma";"9780195002249";"M. Rostovtzeff"
"A War Like No Other: How the Athenians and Spartans Fought the Peloponnesian War";"9780812969702";"Victor Davis Hanson"
"Aristotle";"9789703226511";"Ingemar During"
"Études aristotéliciennes";"9789068310078";"Suzanne Mansion"
"R. E. Lee";"9780684829531";"Douglas Southall Freeman"
"The Civil War: A Narrative";"9780394749136";"Shelby Foote"
"The South Was Right!";"9781565540248";"James Ronald Kennedy"
"America: The Last Best Hope";"9781595551115";"William Bennett"
"La agonía del Psicoanálisis";"B00525FWCO";"Juan José López Ibor"
"Plato: An Introduction";"9780691645889";"Paul Friedlander"
"Toward a New Interpretation of Plato";"9780813208541";"Giovanni Reale"
"Diagnosis Of Our Time";"9780415604437";"Karl Mannheim"
"White Gold: The Extraordinary Story of Thomas Pellow and Islam’s One Million White Slaves";"9780340794708";"Giles Milton"
"New Lies for Old";"9780945001089";"Anatoliy Golitsyn"
"A Farsa Ianomâmi";"9788570112033";"Carlos Alberto Lima Menna Barreto"
"Mainsprings of Civilization";"B0000CK92R";"Ellsworth Huntington"
"Torturados por Amor a Cristo";"9780830775712";"Richard Wurmbrand"