"Hollywood Party: How Communism Seduced the American Film Industry in the 1930s and 1940s";"Kenneth Lloyd Billingsley";"";"Olavo de Carvalho";"";"";""
"Who Financed Hitler: The Secret Funding of Hitler's Rise to Power, 1919-1933";"James Pool";"";"Olavo de Carvalho";"";"";""
"Why Trilling Matters";"Adam Kirsch";"";"Olavo de Carvalho";"";"";""
"The Politics Of Bad Faith: The Radical Assault on America's Future";"David Horowitz";"";"Olavo de Carvalho";"";"";""
"Koba The Dread: Laughter and the Twenty Million";"Martin Amis";"";"Olavo de Carvalho";"";"";""
"Hoodwinked: How Intellectual Hucksters Have Hijacked American Culture";"Jack Cashill";"";"Olavo de Carvalho";"";"";""
"Roots";"Alex Haley";"";"Olavo de Carvalho";"";"";""
"I. Rigoberta Menchu - An Indian Woman In Guatemala";"Rigoberta Menchu";"";"Olavo de Carvalho";"";"";""
"Julia";"Lillian Hellman";"";"Olavo de Carvalho";"";"";""
"Fire Road: The Napalm Girl’s Journey through the Horrors of War to Faith, Forgiveness, and Peace";"Kim Phuc Phan Thi";"";"Olavo de Carvalho";"";"";""
"How to Read a Book: The Classic Guide to Intelligent Reading";"Mortimer J. Adler";"";"Olavo de Carvalho";"";"";""
"The Trivium: The Liberal Arts of Logic, Grammar and Rhetoric";"Sister Miriam Joseph";"";"Olavo de Carvalho";"";"";""
"House of Intellect";"Jacques Barzun";"";"Olavo de Carvalho";"";"";""
"Le socialisme des intellectuels";"Jan Waclav Makhaïski";"";"Olavo de Carvalho";"";"";""
"How the World Really Works";"Alan B. Jones";"";"Olavo de Carvalho";"";"";""
"A Century of War: Anglo-American Oil Politics and the New World Order";"F. William Engdahl";"Olavo de Carvalho";"";"";""
"Memoirs: David Rockefeller";"David Rockefeller";"Olavo de Carvalho";"";"";""
"Shadow War: The Untold Story of How Bush Is Winning the War on Terror";"Richard Miniter";"Olavo de Carvalho";"";"";""
"Losing Bin Laden: How Bill Clinton's Failures Unleashed Global Terror";"Richard Miniter";"Olavo de Carvalho";"";"";""
"America's secret establishment: an introduction to the Order of Skull & Bones";"Antony C. Sutton";"";"";"";""
"Study Guide to Human Action: A Treatise on Economics";"Robert P. Murphy";"";"";"";""
"Choice: Cooperation, Enterprise, and Human Action";"Robert P. Murphy";"";"";"";""
"Milestones";"Sayed Qutb";"";"";"";""
"Before Homosexuality in the Arab-Islamic World, 1500-1800";"Khaled El-Rouayheb";"";"";"";""
"The Pope's Jews";"Gordon Thomas";"";"";"";""
"The Pius War: Responses to the Critics of Pius XII";"David G. Dalin, Joseph Bottum";"";"";""
"Church of Spies: The Pope's Secret War Against Hitler";"Mark Riebling";"";"";""
"True Outspeak 11 de dezembro de 2006";"Olavo de Carvalho";"";"Olavo de Carvalho";"True Outspeak";"2006-12-11";"0"
"True Outspeak 15 de janeiro de 2007";"Olavo de Carvalho";"";"Olavo de Carvalho";"True Outspeak";"2007-01-15";"0"
"True Outspeak 08 de outubro de 2007";"Olavo de Carvalho";"";"Olavo de Carvalho";"True Outspeak";"2007-10-08";"0"
"True Outspeak 16 de junho de 2008";"Olavo de Carvalho";"";"Olavo de Carvalho";"True Outspeak";"2008-06-16";"0"
"True Outspeak 22 de setembro de 2008";"Olavo de Carvalho";"";"Olavo de Carvalho";"True Outspeak";"2008-09-22";"0"